,time,temp,humid,CO2,,,
10,2018-03-09T09:17:39.245Z,30,2000,50,,,
10,2018-03-09T09:22:26.452Z,30,2000,50,,,
10,2018-03-09T09:22:43.677Z,30,2000,50,,,
10,2018-03-09T11:21:59.048Z,26.67,4315,517,,,
10,2018-03-09T11:22:16.572Z,26.62,4365,117,,,
10,2018-03-09T11:25:34.405Z,26.97,4132,0,,,
10,2018-03-09T11:25:51.881Z,27.07,4102,0,,,
10,2018-03-09T11:39:05.478Z,25.97,4320,0,,,
10,2018-03-09T11:39:23.039Z,26.07,4312,0,,,
10,2018-03-09T11:52:49.150Z,25.65,4380,0,,,
10,2018-03-09T11:53:06.677Z,25.75,4367,0,,,
10,2018-03-09T12:06:33.540Z,26.25,4245,0,,,
10,2018-03-09T12:06:51.034Z,26.37,4232,0,,,
10,2018-03-09T12:20:18.537Z,27.07,4040,0,,,
10,2018-03-09T12:20:36.095Z,27.1,4032,0,,,
10,2018-03-09T12:25:37.399Z,27.6,4037,0,,,
10,2018-03-09T12:25:54.958Z,27.67,4007,0,,,
10,2018-03-09T12:39:20.833Z,27.2,3972,0,,,
10,2018-03-09T12:39:38.399Z,27.27,3965,0,,,
10,2018-03-09T12:53:06.245Z,27.1,4009,0,,,
10,2018-03-09T12:53:23.771Z,27.27,3987,0,,,
10,2018-03-09T13:06:54.257Z,27.7,3840,0,,,
10,2018-03-09T13:07:11.771Z,27.82,3819,0,,,
10,2018-03-09T13:20:41.422Z,27.7,3792,0,,,
10,2018-03-09T13:20:58.921Z,27.77,3790,0,,,
10,2018-03-09T13:34:26.116Z,27.47,3847,0,,,
10,2018-03-09T13:34:43.688Z,27.55,3850,0,,,
10,2018-03-09T13:48:12.312Z,27.4,3830,0,,,
10,2018-03-09T13:48:29.950Z,27.55,3814,0,,,
10,2018-03-09T14:01:59.356Z,27.4,3772,0,,,
10,2018-03-09T14:02:16.875Z,27.5,3762,0,,,
10,2018-03-09T14:15:46.419Z,27.4,3777,0,,,
10,2018-03-09T14:16:03.888Z,27.47,3770,0,,,
10,2018-03-10T04:27:33.770Z,23.7,4627,0,,,
10,2018-03-10T04:27:51.448Z,23.9,4425,0,,,
10,2018-03-10T04:41:29.216Z,26.07,4012,0,,,
10,2018-03-10T04:41:46.727Z,26.15,3942,0,,,
10,2018-03-10T04:55:16.411Z,27,3659,0,,,
10,2018-03-10T04:55:34.029Z,27.1,3637,0,,,
10,2018-03-10T05:09:03.908Z,27.5,3077,0,,,
10,2018-03-10T05:09:21.492Z,27.5,3162,0,,,
10,2018-03-10T05:22:49.612Z,27.6,3340,0,,,
10,2018-03-10T05:23:07.094Z,27.6,3280,0,,,
10,2018-03-10T05:36:32.867Z,27.7,3490,0,,,
10,2018-03-10T05:36:50.345Z,27.7,3472,0,,,
10,2018-03-10T05:50:17.125Z,27.87,3487,0,,,
10,2018-03-10T05:50:34.605Z,27.9,3457,0,,,
10,2018-03-10T06:04:04.152Z,27.9,3482,0,,,
10,2018-03-10T06:04:21.650Z,27.92,3465,0,,,
10,2018-03-10T06:17:51.340Z,27.97,3437,0,,,
10,2018-03-10T06:18:08.866Z,28,3402,0,,,
10,2018-03-10T06:31:35.994Z,28,3432,0,,,
10,2018-03-10T06:31:53.490Z,28,3409,0,,,
10,2018-03-10T06:45:28.879Z,28.1,3382,0,,,
10,2018-03-10T06:47:36.337Z,28.5,3252,0,,,
10,2018-03-10T06:47:54.122Z,28.65,3214,0,,,
10,2018-03-10T07:01:10.509Z,28.7,3192,0,,,
10,2018-03-10T07:01:28.313Z,28.65,3170,0,,,
10,2018-03-10T07:39:03.270Z,29.32,2942,0,,,
10,2018-03-10T07:40:10.779Z,29.2,2955,0,,,
10,2018-03-10T07:40:28.362Z,29.2,2932,0,,,
10,2018-03-10T07:53:46.067Z,28.75,2992,0,,,
10,2018-03-10T07:54:03.556Z,28.7,2987,0,,,
10,2018-03-10T08:07:29.724Z,28.34,3042,0,,,
10,2018-03-10T08:07:47.205Z,28.37,3020,0,,,
10,2018-03-10T08:21:22.144Z,28.15,3055,0,,,
10,2018-03-10T08:21:39.673Z,28.15,3034,0,,,
10,2018-03-10T08:35:04.304Z,28.1,3020,0,,,
10,2018-03-10T08:35:21.880Z,28.1,2992,0,,,
10,2018-03-11T10:09:05.046Z,26.65,2997,0,,,
10,2018-03-11T10:09:23.538Z,26.9,3075,0,,,
10,2018-03-11T10:22:43.918Z,28.1,2700,0,,,
10,2018-03-11T10:23:01.490Z,28.17,2684,0,,,
10,2018-03-11T10:37:20.271Z,28.77,2575,0,,,
10,2018-03-11T10:37:37.730Z,28.97,2572,0,,,
10,2018-03-11T10:50:59.129Z,29.4,2902,0,,,
10,2018-03-11T10:51:16.609Z,29.4,2882,0,,,
10,2018-03-11T11:04:43.561Z,29.37,2817,0,,,
10,2018-03-11T11:05:01.041Z,29.4,2800,0,,,
10,2018-03-11T11:18:28.143Z,29.1,2925,0,,,
10,2018-03-11T11:18:45.652Z,29.1,2920,0,,,
10,2018-03-11T11:32:13.741Z,28.9,2925,0,,,
10,2018-03-11T11:32:31.200Z,28.9,2902,0,,,
10,2018-03-11T11:45:58.870Z,28.8,3055,0,,,
10,2018-03-11T11:46:16.335Z,28.8,3055,0,,,
10,2018-03-11T11:59:43.952Z,28.7,3162,0,,,
10,2018-03-11T12:00:01.493Z,28.77,3162,0,,,
10,2018-03-11T12:13:30.952Z,28.67,3270,0,,,
10,2018-03-11T12:13:48.748Z,28.7,3259,0,,,
10,2018-03-11T12:27:25.651Z,28.5,3375,0,,,
10,2018-03-11T12:28:42.522Z,28.77,3347,0,,,
10,2018-03-11T12:29:00.003Z,28.87,3337,0,,,
10,2018-03-11T12:42:16.449Z,28.7,3352,0,,,
10,2018-03-11T12:43:24.707Z,28.87,3347,0,,,
10,2018-03-11T12:43:42.190Z,28.9,3322,0,,,
10,2018-03-11T12:57:01.532Z,28.6,3400,0,,,
10,2018-03-11T12:57:19.987Z,28.6,3400,0,,,
10,2018-03-11T13:10:48.551Z,28.2,3509,0,,,
10,2018-03-11T13:11:06.077Z,28.27,3507,0,,,
10,2018-03-11T13:24:34.805Z,28.1,3557,0,,,
10,2018-03-11T13:24:52.305Z,28.17,3569,0,,,
10,2018-03-11T13:38:20.435Z,28.05,3605,0,,,
10,2018-03-11T13:38:38.001Z,28.1,3600,0,,,
10,2018-03-11T13:52:08.729Z,28,3652,0,,,
10,2018-03-11T13:52:26.201Z,28.07,3650,0,,,
10,2018-03-11T14:05:55.325Z,27.97,3702,0,,,
10,2018-03-11T14:06:12.966Z,28,3712,0,,,
10,2018-03-11T14:19:52.812Z,27.9,3762,0,,,
10,2018-03-11T14:20:10.299Z,27.9,3755,0,,,
10,2018-03-11T14:33:38.097Z,27.87,3777,0,,,
10,2018-03-11T14:33:55.646Z,27.9,3762,0,,,
10,2018-03-11T14:47:23.461Z,27.8,3782,0,,,
10,2018-03-11T14:47:41.953Z,27.87,3777,0,,,
10,2018-03-11T15:01:10.336Z,27.8,3892,0,,,
10,2018-03-11T15:01:27.846Z,27.82,3902,0,,,
10,2018-03-11T15:14:56.839Z,27.82,3972,0,,,
10,2018-03-11T15:15:14.448Z,27.9,3959,0,,,
10,2018-03-11T15:29:36.252Z,28.05,3980,0,,,
10,2018-03-11T15:29:53.986Z,28.12,3950,0,,,
10,2018-03-11T15:43:13.656Z,28.17,3990,0,,,
10,2018-03-11T15:43:31.309Z,28.2,3990,0,,,
10,2018-03-11T15:57:01.397Z,28,4062,0,,,
10,2018-03-11T15:57:18.895Z,28,4057,0,,,
10,2018-03-11T16:10:46.995Z,27.9,4042,0,,,
10,2018-03-11T16:11:05.483Z,27.9,4030,0,,,
10,2018-03-11T16:24:35.074Z,27.85,4047,0,,,
10,2018-03-11T16:24:52.564Z,27.92,4040,0,,,
10,2018-03-11T16:38:22.805Z,27.8,4032,0,,,
10,2018-03-11T16:38:40.357Z,27.87,4020,0,,,
10,2018-03-11T16:52:10.081Z,27.77,4030,0,,,
10,2018-03-11T16:52:27.577Z,27.8,4022,0,,,
10,2018-03-11T17:05:56.832Z,27.77,4059,0,,,
10,2018-03-11T17:06:14.323Z,27.82,4055,0,,,
10,2018-03-11T17:19:51.463Z,27.8,4040,0,,,
10,2018-03-11T17:20:08.971Z,27.87,4030,0,,,
10,2018-03-11T17:33:36.060Z,27.77,4030,0,,,
10,2018-03-11T17:33:54.233Z,27.8,4022,0,,,
10,2018-03-11T17:47:32.647Z,27.7,4072,0,,,
10,2018-03-11T17:47:50.339Z,27.75,4065,0,,,
10,2018-03-11T18:01:19.440Z,27.8,4052,0,,,
10,2018-03-11T18:01:36.976Z,27.87,4050,0,,,
10,2018-03-11T18:15:06.391Z,27.87,4030,0,,,
10,2018-03-11T18:15:23.917Z,27.9,4022,0,,,
10,2018-03-11T18:29:02.626Z,27.9,4012,0,,,
10,2018-03-11T18:29:20.103Z,27.97,4002,0,,,
10,2018-03-11T18:42:48.861Z,27.92,4005,0,,,
10,2018-03-11T18:43:07.310Z,27.97,4000,0,,,
10,2018-03-11T18:56:37.228Z,27.85,4022,0,,,
10,2018-03-11T19:10:22.580Z,27.7,4072,0,,,
10,2018-03-11T19:11:29.995Z,27.97,4052,0,,,
10,2018-03-11T19:12:38.394Z,28.3,3982,0,,,
10,2018-03-11T19:12:56.032Z,28.4,3942,0,,,
10,2018-03-11T19:26:11.843Z,28.15,3995,0,,,
10,2018-03-11T19:26:29.325Z,28.17,3992,0,,,
10,2018-03-11T19:39:54.784Z,27.77,4090,0,,,
10,2018-03-11T19:40:12.289Z,27.8,4080,0,,,
10,2018-03-11T19:53:38.623Z,27.62,4115,0,,,
10,2018-03-11T19:53:56.133Z,27.7,4110,0,,,
10,2018-03-11T20:07:25.003Z,27.6,4162,0,,,
10,2018-03-11T20:07:42.475Z,27.67,4160,0,,,
10,2018-03-11T20:21:12.949Z,27.6,4169,0,,,
10,2018-03-11T20:21:30.430Z,27.67,4160,0,,,
10,2018-03-11T20:35:07.099Z,27.5,4172,0,,,
10,2018-03-11T20:35:24.586Z,27.57,4167,0,,,
10,2018-03-11T20:48:57.304Z,27.5,4195,0,,,
10,2018-03-11T20:49:14.799Z,27.55,4187,0,,,
10,2018-03-11T21:02:41.785Z,27.57,4212,0,,,
10,2018-03-11T21:02:59.261Z,27.6,4202,0,,,
10,2018-03-11T21:16:28.113Z,27.6,4219,0,,,
10,2018-03-11T21:16:46.618Z,27.57,4205,0,,,100
10,2018-03-12T03:17:21.267Z,30,2000,50,,,
10,2018-03-12T03:17:36.446Z,30,2000,50,,,
10,2018-03-12T06:43:17.534Z,30,2000,50,,,
10,2018-03-12T06:43:32.724Z,30,2000,50,,,
10,2018-03-12T06:47:22.601Z,30,2000,50,,,
10,2018-03-12T06:47:37.822Z,30,2000,50,,,
10,2018-03-12T07:37:23.564Z,30,2000,50,,,
10,2018-03-12T07:37:38.754Z,30,2000,50,,,
